Code,Name,ZipCode
4125753,SAO PEDRO DO IGUACU,85929
4125803,SAO PEDRO DO IVAI,86945
4125902,SAO PEDRO DO PARANA,87955
4126009,SAO SEBASTIAO DA AMOREIRA,86240
4126108,SAO TOME,87220
4126207,SAPOPEMA,84290
4126256,SARANDI,87110
4126272,SAUDADE DO IGUACU,85568
4126306,SENGES,84220
4126355,SERRANOPOLIS DO IGUACU,85885
4126405,SERTANEJA,86340
4126504,SERTANOPOLIS,86170
4126603,SIQUEIRA CAMPOS,84940
4126652,SULINA,85565
4126678,TAMARANA,86125
4126702,TAMBOARA,87760
4126801,TAPEJARA,87430
4126900,TAPIRA,87830
4127007,TEIXEIRA SOARES,84530
4127106,TELEMACO BORBA,84260
4127205,TERRA BOA,87240
4127304,TERRA RICA,87890
4127403,TERRA ROXA,85990
4127502,TIBAGI,84300
4127601,TIJUCAS DO SUL,83190
4127700,TOLEDO,85900
4127809,TOMAZINA,84935
4127858,TRES BARRAS DO PARANA,85485
4127882,TUNAS DO PARANA,83480
4127908,TUNEIRAS DO OESTE,87450
4127957,TUPASSI,85945
4127965,TURVO,85150
4128005,UBIRATA,85440
4128104,UMUARAMA,87500
4128203,UNIAO DA VITORIA,84600
4128302,UNIFLOR,87640
4128401,URAI,86280
4128500,WENCESLAU BRAZ,84950
4128534,VENTANIA,84345
4128559,VERA CRUZ DO OESTE,85845
4128609,VERE,85585
4128625,VILA ALTA,87528
4128633,DOUTOR ULYSSES,83590
4128658,VIRMOND,85390
4128708,VITORINO,85520
4128807,XAMBRE,87535
4200051,ABDON BATISTA,89636
4200101,ABELARDO LUZ,89830
4200200,AGROLANDIA,88420
4200309,AGRONOMICA,89188
4200408,AGUA DOCE,89654
4200507,AGUAS DE CHAPECO,89883
4200556,AGUAS FRIAS,89843
4200606,AGUAS MORNAS,88150
4200705,ALFREDO WAGNER,88450
4200754,ALTO BELA VISTA,89730
4200804,ANCHIETA,89970
4200903,ANGELINA,88460
4201000,ANITA GARIBALDI,88590
4201109,ANITAPOLIS,88475
4201208,ANTONIO CARLOS,88180
4201257,APIUNA,89135
4201273,ARABUTA,89740
